,Mã học sinh,Toán,Lý,Hoá,Sinh,Văn,Sử ,Địa,Tiếng Anh,Khối A
0,20205210,7.0,8.0,8.8,6.8,4.0,5.4,5.6,8.5,23.8
1,20205211,5.6,7.7,6.0,7.0,6.5,6.0,3.4,9.0,19.3
2,20205212,4.2,6.5,5.4,8.0,7.0,7.5,4.3,5.5,16.1
3,20205213,8.0,5.6,6.5,7.0,7.5,6.5,5.6,6.0,20.1
4,20205214,9.3,5.8,7.5,4.5,6.5,4.5,7.8,3.8,22.6
5,20205215,5.6,7.0,5.6,5.0,6.4,3.8,8.0,4.9,18.2
6,20205216,6.7,6.8,7.3,6.0,6.7,8.0,9.5,7.6,20.8
7,20205217,7.5,9.0,7.0,2.0,5.2,2.0,7.0,6.5,23.5
8,20205218,7.0,7.4,6.4,9.0,8.5,9.2,8.4,7.8,20.8
9,20205219,8.2,7.0,8.7,6.5,4.8,4.6,4.8,5.5,23.9
